period,quarter,source,target,value,signed,neg
2019-10-27,FY2020 Q3,Operating Income,Net Income,899000000,899000000,False
2019-10-27,FY2020 Q3,Operating Income,Tax & Other,28000000,28000000,False
2020-01-26,FY2020 Q4,Revenue,Gross Profit,2015000000,2015000000,False
2020-01-26,FY2020 Q4,Revenue,Cost of Revenue,1090000000,1090000000,False
2020-01-26,FY2020 Q4,Gross Profit,Operating Income,990000000,990000000,False
2020-01-26,FY2020 Q4,Gross Profit,Operating Expenses,1025000000,1025000000,False
2020-01-26,FY2020 Q4,Operating Income,Net Income,950000000,950000000,False
2020-01-26,FY2020 Q4,Operating Income,Tax & Other,40000000,40000000,False
2020-04-26,FY2021 Q1,Revenue,Gross Profit,2004000000,2004000000,False
2020-04-26,FY2021 Q1,Revenue,Cost of Revenue,1076000000,1076000000,False
2020-04-26,FY2021 Q1,Gross Profit,Operating Income,976000000,976000000,False
2020-04-26,FY2021 Q1,Gross Profit,Operating Expenses,1028000000,1028000000,False
2020-04-26,FY2021 Q1,Operating Income,Net Income,917000000,917000000,False
2020-04-26,FY2021 Q1,Operating Income,Tax & Other,59000000,59000000,False
2020-07-26,FY2021 Q2,Revenue,Gross Profit,2275000000,2275000000,False
2020-07-26,FY2021 Q2,Revenue,Cost of Revenue,1591000000,1591000000,False
2020-07-26,FY2021 Q2,Gross Profit,Operating Income,651000000,651000000,False
2020-07-26,FY2021 Q2,Gross Profit,Operating Expenses,1624000000,1624000000,False
2020-07-26,FY2021 Q2,Operating Income,Net Income,622000000,622000000,False
2020-07-26,FY2021 Q2,Operating Income,Tax & Other,29000000,29000000,False
2020-10-25,FY2021 Q3,Revenue,Gross Profit,2960000000,2960000000,False
2020-10-25,FY2021 Q3,Revenue,Cost of Revenue,1766000000,1766000000,False
2020-10-25,FY2021 Q3,Gross Profit,Operating Income,1398000000,1398000000,False
2020-10-25,FY2021 Q3,Gross Profit,Operating Expenses,1562000000,1562000000,False
2020-10-25,FY2021 Q3,Operating Income,Net Income,1336000000,1336000000,False
2020-10-25,FY2021 Q3,Operating Income,Tax & Other,62000000,62000000,False
2021-01-31,FY2021 Q4,Revenue,Gross Profit,3156000000,3156000000,False
2021-01-31,FY2021 Q4,Revenue,Cost of Revenue,1847000000,1847000000,False
